POS,PLAYER,GP,G,A,P,PIM,+/-
C,N.Backstrom,3,1,3,4,0,3
LW,A.Ovechkin,3,0,3,3,4,3
C,E.Kuznetsov,3,1,1,2,2,1
RW,A.Burakovsky,3,2,0,2,0,2
RW,T.Oshie,3,0,2,2,0,1
D,K.Shattenkirk,3,0,2,2,0,2
LW,M.Johansson,3,2,0,2,0,2
LW,C.MacArthur,3,0,1,1,0,-2
D,M.Niskanen,3,0,1,1,0,2
C,J.Beagle,3,1,0,1,0,1
D,M.Methot,3,1,0,1,0,-1
D,C.Ceci,3,0,1,1,0,-1
D,K.Alzner,3,0,0,0,2,2

D,E.Karlsson,3,0,0,0,2,-3
RW,V.Stalberg,3,0,0,0,0,0
RW,Ma.Stone,3,0,0,0,0,-1
LW,D.Winnik,3,0,0,0,0,0
C,J.Pageau,3,0,0,0,0,-1
LW,M.Hoffman,3,0,0,0,0,-1
D,J.Jokipakka,3,0,0,0,2,0
RW,T.Wingels,3,0,0,0,0,-1
D,C.Wideman,3,0,0,0,0,0

C,L.Eller,3,0,0,0,0,0
D,J.Carlson,3,0,0,0,0,0
RW,B.Connolly,3,0,0,0,0,0
RW,T.Wilson,3,0,0,0,0,0
D,D.Orlov,3,0,0,0,0,2
D,B.Orpik,3,0,0,0,2,0
RW,J.Williams,3,0,0,0,0,0
RW,C.Neil,3,0,0,0,0,0
D,D.Phaneuf,3,0,0,0,0,-3
LW,A.Burrows,3,0,0,0,0,-1
RW,B.Ryan,3,0,0,0,0,-2
C,D.Brassard,3,0,0,0,0,-2
C,K.Turris,3,0,0,0,0,-1
C,Z.Smith,3,0,0,0,0,0
