POS,PLAYER,TEAM,GP,G,A,P,PIM,+/-
D,K.Russell,EDM,4,1,0,1,0,-1
C,N.Thompson,ANA,4,0,1,1,0,1
D,K.Bieksa,ANA,4,0,0,0,0,2
RW,J.Boll,ANA,4,0,0,0,0,1
D,S.Despres,ANA,4,0,0,0,0,2
C,R.Rakell,ANA,4,0,0,0,0,0
LW,N.Ritchie,ANA,4,0,0,0,0,-1
LW,M.Lucic,EDM,4,0,0,0,0,-7
C,M.Letestu,EDM,4,0,0,0,2,-1
D,A.Sekera,EDM,4,0,0,0,2,-1
RW,J.Eberle,EDM,4,0,0,0,0,-4
D,E.Gryba,EDM,4,0,0,0,2,0
D,O.Klefbom,EDM,4,0,0,0,0,-7
C,C.McDavid,EDM,4,0,0,0,2,-5
D,C.Fowler,ANA,4,1,1,2,0,4
C,A.Vermette,ANA,4,0,1,1,0,-1
RW,J.Silfverberg,ANA,4,0,1,1,0,0
RW,L.Shaw,ANA,4,1,0,1,0,1
D,A.Larsson,EDM,4,0,1,1,0,-5
D,J.Manson,ANA,4,0,1,1,0,-1
LW,M.Hendricks,EDM,4,1,0,1,0,1
D,D.Nurse,EDM,4,0,1,1,0,2
RW,J.Fontaine,EDM,4,0,1,1,0,-1
LW,A.Cogliano,ANA,4,5,2,7,2,6
RW,C.Perry,ANA,4,1,3,4,0,5
C,R.Nugent-Hopkins,EDM,4,1,2,3,0,2
D,H.Lindholm,ANA,4,0,3,3,0,0
C,R.Getzlaf,ANA,4,1,2,3,0,5
LW,B.Pouliot,EDM,4,1,1,2,0,-2
C,R.Kesler,ANA,4,2,0,2,0,1
C,L.Draisaitl,EDM,4,0,2,2,2,-2
RW,P.Eaves,ANA,4,1,1,2,0,0
RW,J.Puljujarvi,EDM,4,0,2,2,0,2
LW,P.Maroon,EDM,4,1,1,2,0,-3
RW,Z.Kassian,EDM,4,1,1,2,0,2
D,S.Vatanen,ANA,4,0,2,2,0,5
