POS,PLAYER,GP,G,A,P,PIM,+/-
C,T.Bozak,4,0,0,0,0,-2
LW,M.Martin,4,0,0,0,2,-2
D,M.Niskanen,4,0,0,0,0,1
D,J.Carlson,4,0,0,0,0,1
RW,B.Connolly,4,0,0,0,0,-1
RW,C.Brown,4,0,0,0,0,-1
RW,T.Wilson,4,0,0,0,0,0
D,B.Orpik,4,0,0,0,4,0
C,B.Boyle,4,0,0,0,0,-1
D,M.Hunwick,4,0,0,0,0,-2
LW,D.Winnik,4,0,0,0,0,1
RW,Z.Hyman,4,0,0,0,0,-3
RW,N.Soshnikov,4,0,0,0,2,-1
D,N.Zaitsev,4,0,0,0,2,-1
RW,L.Komarov,4,0,1,1,0,-4
C,L.Eller,4,0,1,1,0,2
D,D.Orlov,4,0,1,1,0,1
LW,J.Van Riemsdyk,4,1,0,1,0,-4
D,J.Gardiner,4,1,0,1,2,-1
D,C.Carrick,4,0,1,1,0,-7
D,A.Marchenko,4,0,1,1,2,-3
RW,M.Marner,4,0,1,1,0,-4
C,A.Matthews,4,0,1,1,0,-4
D,K.Shattenkirk,4,1,5,6,0,9
RW,A.Burakovsky,4,2,3,5,0,5
LW,A.Ovechkin,4,3,1,4,2,5
C,J.Beagle,4,1,2,3,0,3
RW,T.Oshie,4,1,2,3,0,3
RW,J.Williams,4,1,1,2,0,3
C,N.Backstrom,4,2,0,2,2,6
D,K.Alzner,4,0,2,2,0,10
LW,M.Johansson,4,1,1,2,0,4
C,E.Kuznetsov,4,2,0,2,0,2
C,N.Kadri,4,1,1,2,0,-3
D,M.Rielly,4,2,0,2,0,-8
RW,W.Nylander,4,0,2,2,0,-4
