POS,PLAYER,TEAM,GP,G,A,P,PIM,+/-
D,K.Miller,BOS,5,0,1,1,0,4
D,T.Krug,BOS,5,0,1,1,4,-3
D,C.McAvoy,BOS,5,0,1,1,0,0
D,M.Methot,OTT,13,1,0,1,4,1
C,K.Turris,OTT,13,1,0,1,2,-3
D,E.Karlsson,OTT,13,1,3,4,8,-2
D,Z.Chara,BOS,5,0,0,0,2,-2
D,A.McQuaid,BOS,5,0,0,0,0,2
D,J.Jokipakka,OTT,13,0,1,1,4,1
C,Ril.Nash,BOS,5,0,0,0,0,0
RW,J.Hayes,BOS,5,0,0,0,0,-1
D,B.Carlo,BOS,5,0,0,0,2,-3
RW,D.Pastrnak,BOS,5,0,0,0,4,-6
LW,F.Vatrano,BOS,5,0,0,0,0,0

C,D.Moore,BOS,5,0,2,2,0,0
RW,Ma.Stone,OTT,13,0,3,3,0,-1
RW,C.Neil,OTT,13,0,2,2,2,0
LW,A.Burrows,OTT,13,1,1,2,0,-1
RW,B.Ryan,OTT,13,0,1,1,2,-2
C,J.Pageau,OTT,13,1,2,3,2,-1
C,D.Backes,BOS,5,1,0,1,6,-3
LW,M.Beleskey,BOS,5,1,0,1,0,-7
C,R.Spooner,BOS,5,1,0,1,0,3

D,C.Ceci,OTT,13,1,4,5,0,3
LW,C.MacArthur,OTT,13,2,3,5,6,-2
RW,V.Stalberg,OTT,13,4,1,5,15,4
C,P.Bergeron,BOS,5,2,1,3,0,1
LW,B.Marchand,BOS,5,0,2,2,0,2
LW,M.Hoffman,OTT,13,1,2,3,6,-3
RW,T.Wingels,OTT,13,1,1,2,2,-1
D,D.Phaneuf,OTT,13,1,2,3,6,-3
D,C.Wideman,OTT,13,1,2,3,0,-2
RW,D.Stafford,BOS,5,2,0,2,0,0
C,D.Brassard,OTT,13,0,2,2,4,1
C,D.Krejci,BOS,5,1,1,2,0,2
C,Z.Smith,OTT,13,3,0,3,10,3

D,D.Schlemko,SJS,5,0,1,1,0,0
LW,P.Maroon,EDM,9,1,2,3,4,-5
C,M.Karlsson,SJS,5,1,0,1,0,-1
D,E.Gryba,EDM,9,0,1,1,2,-1
RW,J.Fontaine,EDM,5,0,2,2,0,0
D,K.Russell,EDM,9,1,0,1,0,0
D,M.Vlasic,SJS,5,0,0,0,2,2
D,D.Nurse,EDM,9,0,1,1,0,1
LW,J.Donskoi,SJS,5,0,0,0,0,-1
RW,J.Ward,SJS,5,0,0,0,0,-1
C,C.Tierney,SJS,5,0,0,0,0,0
D,J.Braun,SJS,5,0,0,0,0,0
RW,T.Meier,SJS,5,0,0,0,0,0
D,A.Larsson,EDM,9,0,3,3,2,-2
C,R.Nugent-Hopkins,EDM,9,2,3,5,0,1
RW,Z.Kassian,EDM,9,1,3,4,0,4
C,L.Draisaitl,EDM,9,2,2,4,2,-3
C,T.Hertl,SJS,5,1,1,2,0,-2
LW,B.Pouliot,EDM,9,2,1,3,0,-1
D,P.Martin,SJS,5,1,0,1,0,-2
D,A.Sekera,EDM,9,0,1,1,4,-1
LW,M.Hendricks,EDM,9,2,0,2,2,2
C,D.Desharnais,EDM,4,1,0,1,0,1
RW,J.Pavelski,SJS,5,3,3,6,0,-1
C,J.Thornton,SJS,5,4,2,6,0,1
C,C.McDavid,EDM,9,2,2,4,2,-3
RW,M.Boedker,SJS,5,0,4,4,0,1
C,L.Couture,SJS,5,1,3,4,0,-2
RW,J.Puljujarvi,EDM,9,2,3,5,0,1
D,B.Burns,SJS,5,0,3,3,0,-2
LW,M.Lucic,EDM,9,2,1,3,4,-5
C,M.Letestu,EDM,9,1,2,3,4,-2
RW,J.Eberle,EDM,9,1,2,3,0,-3
RW,J.Hansen,SJS,5,2,1,3,2,2
D,B.Dillon,SJS,5,0,3,3,0,-2
LW,P.Marleau,SJS,5,1,1,2,0,-2
D,O.Klefbom,EDM,9,0,2,2,0,-4
RW,K.Versteeg,CGY,3,0,0,0,0,-3
RW,M.Frolik,CGY,3,0,0,0,0,-2
C,M.Backlund,CGY,3,0,0,0,0,-2
D,Mi.Stone,CGY,3,0,0,0,2,-1
D,T.Brodie,CGY,3,0,0,0,0,-1
C,A.Vermette,ANA,11,0,2,2,0,0
C,S.Monahan,CGY,3,0,0,0,0,-2
D,M.Bartkowski,CGY,3,0,0,0,0,-2
RW,C.Lazar,CGY,3,0,0,0,2,0
C,S.Bennett,CGY,3,0,0,0,0,0
RW,A.Chiasson,CGY,3,0,0,0,0,-2
LW,J.Gaudreau,CGY,3,0,0,0,0,-2
LW,M.Tkachuk,CGY,3,0,0,0,2,-1
D,C.Fowler,ANA,11,1,3,4,4,3
RW,L.Shaw,ANA,11,1,0,1,0,2
D,S.Despres,ANA,11,0,0,0,0,3
LW,N.Ritchie,ANA,11,1,0,1,4,0
RW,T.Brouwer,CGY,3,0,0,0,4,-1
C,M.Stajan,CGY,3,0,0,0,0,-2
D,D.Wideman,CGY,3,0,0,0,0,-2
D,M.Giordano,CGY,3,0,0,0,7,-3
LW,L.Bouma,CGY,3,0,0,0,0,-1
RW,C.Perry,ANA,11,5,6,11,2,7
C,R.Rakell,ANA,11,0,4,4,8,2
C,R.Getzlaf,ANA,11,2,5,7,2,7
RW,J.Silfverberg,ANA,11,2,2,4,2,2
C,N.Thompson,ANA,11,1,1,2,0,2
C,R.Kesler,ANA,11,4,0,4,7,0
D,J.Manson,ANA,11,0,2,2,4,3
D,H.Lindholm,ANA,11,0,4,4,4,3
LW,A.Cogliano,ANA,11,6,5,11,2,6
RW,J.Boll,ANA,11,1,0,1,0,1
D,D.Hamilton,CGY,3,1,0,1,2,-3
RW,P.Eaves,ANA,11,1,1,2,2,0
D,K.Bieksa,ANA,11,1,0,1,4,1
D,S.Vatanen,ANA,11,2,3,5,0,3

D,S.Jones,CBJ,4,1,0,1,0,-5
C,A.Wennberg,CBJ,4,0,1,1,2,-2
C,J.Guentzel,PIT,8,0,0,0,0,1
D,K.Quincey,CBJ,4,0,0,0,2,-1
D,R.Murray,CBJ,4,0,0,0,0,-4
RW,P.Kessel,PIT,8,1,0,1,0,-4
D,D.Savard,CBJ,4,0,0,0,0,0
C,M.Cullen,PIT,8,0,1,1,4,1
RW,C.Atkinson,CBJ,4,0,0,0,2,-5
RW,J.Anderson,CBJ,4,0,0,0,0,0
LW,C.Kunitz,PIT,8,0,1,1,4,0
RW,T.Kuhnhackl,PIT,8,2,1,3,0,2
RW,N.Foligno,CBJ,4,0,0,0,0,-4
D,Z.Werenski,CBJ,4,0,0,0,0,0
D,O.Maatta,PIT,8,0,2,2,0,0
D,J.Johnson,CBJ,4,0,1,1,2,0
LW,S.Hartnell,CBJ,4,1,0,1,0,0
LW,L.Korpikoski,CBJ,4,0,1,1,0,1
C,B.Dubinsky,CBJ,4,0,1,1,2,-5
C,S.Gagner,CBJ,4,0,1,1,0,-1
RW,M.Calvert,CBJ,4,0,1,1,0,1
LW,B.Saad,CBJ,4,0,1,1,0,-2
C,W.Karlsson,CBJ,4,1,0,1,0,1
D,K.Letang,PIT,8,3,1,4,5,3
C,N.Bonino,PIT,8,1,2,3,0,1
C,S.Crosby,PIT,8,1,1,2,0,0
D,M.Streit,PIT,8,2,1,3,0,1
RW,P.Hornqvist,PIT,8,1,1,2,0,2
LW,B.Jenner,CBJ,4,2,0,2,0,0
LW,C.Hagelin,PIT,8,1,0,1,0,0
C,E.Malkin,PIT,8,0,2,2,4,0
D,B.Dumoulin,PIT,8,0,2,2,0,-1
D,T.Daley,PIT,8,0,1,1,0,1
D,R.Hainsey,PIT,8,1,1,2,0,1
C,B.Rust,PIT,8,1,0,1,0,1
LW,C.Sheary,PIT,8,1,0,1,2,1
LW,M.Salomaki,NAS,2,0,1,1,2,1
D,M.Irwin,NAS,4,0,1,1,0,-1
C,A.Desjardins,CHI,8,0,0,0,0,0
RW,R.Panik,CHI,8,0,0,0,8,-2
LW,M.Latta,CHI,8,1,0,1,0,1
RW,R.Hartman,CHI,8,1,0,1,7,-1
RW,V.Fiddler,NAS,4,0,0,0,0,0
D,Y.Weber,NAS,4,0,0,0,0,0
C,M.Fisher,NAS,4,0,0,0,0,-1
D,T.Van Riemsdyk,CHI,8,0,0,0,6,-4
RW,A.Watson,NAS,4,0,0,0,2,0
D,M.Ekholm,NAS,4,0,0,0,2,0
LW,C.McLeod,NAS,2,0,0,0,2,0
RW,P.Parenteau,NAS,4,0,0,0,0,-1
RW,J.Neal,NAS,4,2,0,2,6,-3
C,M.Kruger,CHI,8,0,3,3,0,-1
D,P.Subban,NAS,4,0,2,2,2,0
RW,C.Smith,NAS,4,1,1,2,0,1
D,J.Oduya,CHI,8,0,1,1,4,-4
D,B.Seabrook,CHI,8,1,2,3,2,4
LW,A.Panarin,CHI,8,2,1,3,2,-5
LW,C.Wilson,NAS,4,1,0,1,0,-1
D,R.Ellis,NAS,4,0,1,1,0,-2
RW,C.Jarnkrok,NAS,4,1,0,1,0,-1
RW,M.Hossa,CHI,8,2,2,4,2,-3
C,J.Toews,CHI,8,3,1,4,0,-2
RW,P.Kane,CHI,8,2,2,4,0,-2
C,A.Anisimov,CHI,8,2,3,5,0,-2
C,R.Johansen,NAS,4,1,2,3,0,-3
RW,T.Jurco,CHI,8,2,2,4,0,0
D,R.Josi,NAS,4,0,3,3,2,-3
D,B.Campbell,CHI,8,0,2,2,0,-2
RW,V.Arvidsson,NAS,4,1,1,2,0,-4
C,N.Schmaltz,CHI,8,2,1,3,4,0
D,D.Keith,CHI,8,0,3,3,2,0
LW,F.Forsberg,NAS,4,2,0,2,0,-2
D,N.Hjalmarsson,CHI,8,0,2,2,0,-3

RW,J.Fast,NYR,3,0,0,0,0,-1
RW,A.Shaw,MTL,8,2,1,3,0,5
D,N.Beaulieu,MTL,8,0,0,0,0,-1
D,S.Kampfer,NYR,3,0,0,0,0,0
C,M.Zibanejad,NYR,3,0,0,0,0,-3
C,J.Miller,NYR,3,0,0,0,0,0
LW,C.Kreider,NYR,3,0,0,0,0,-3
RW,K.Hayes,NYR,3,0,0,0,0,-1
C,P.Buchnevich,NYR,3,0,0,0,2,-2
LW,J.Vesey,NYR,3,0,0,0,4,0
C,P.Danault,MTL,8,0,1,1,0,0
LW,Ric.Nash,NYR,3,0,1,1,2,1
C,D.Stepan,NYR,3,1,0,1,0,0
LW,D.King,MTL,8,1,0,1,0,-1
C,A.Martinsen,MTL,8,1,2,3,2,4
RW,M.McCarron,MTL,8,0,0,0,0,1
D,D.Girardi,NYR,3,0,0,0,8,0
D,A.Markov,MTL,8,0,0,0,0,1
D,K.Klein,NYR,3,0,0,0,2,-2
D,M.Staal,NYR,3,0,0,0,2,-2
RW,M.Zuccarello,NYR,3,0,0,0,0,-3
D,N.Holden,NYR,3,0,0,0,0,1
LW,O.Lindberg,NYR,3,0,0,0,0,-1
RW,A.Radulov,MTL,8,5,0,5,2,-1
LW,M.Pacioretty,MTL,8,0,5,5,2,-2
LW,S.Ott,MTL,8,2,1,3,2,1
C,T.Plekanec,MTL,8,2,0,2,2,-2
C,A.Galchenyuk,MTL,8,0,4,4,4,-1
LW,M.Grabner,NYR,3,1,1,2,0,2
D,R.McDonagh,NYR,3,1,1,2,2,-1
LW,J.de la Rose,MTL,8,0,1,1,0,3
D,S.Weber,MTL,8,1,3,4,0,1
D,A.Emelin,MTL,8,0,3,3,2,2
