POS,PLAYER,TEAM,GP,G,A,P,PIM,+/-
D,A.Pietrangelo,STL,4,1,0,1,0,1
LW,R.Fabbri,STL,4,1,0,1,0,0
C,R.Kesler,ANA,4,1,0,1,2,-3
D,S.Despres,ANA,4,0,0,0,0,0
RW,L.Shaw,ANA,4,0,0,0,0,-1
RW,R.Reeves,STL,4,0,0,0,0,2
D,J.Manson,ANA,4,0,0,0,2,0
D,H.Lindholm,ANA,4,0,0,0,4,0
D,J.Edmundson,STL,4,0,0,0,0,-2
RW,J.Boll,ANA,4,0,0,0,0,-1
RW,P.Eaves,ANA,4,0,0,0,2,0
D,J.Wisniewski,STL,4,0,0,0,0,-2
D,J.Bouwmeester,STL,4,0,0,0,0,3
C,N.Thompson,ANA,4,0,0,0,0,-1
D,C.Fowler,ANA,4,0,2,2,4,-3
C,A.Vermette,ANA,4,0,1,1,0,1
D,K.Bieksa,ANA,4,1,0,1,4,-1
RW,J.Silfverberg,ANA,4,1,0,1,0,0
C,R.Rakell,ANA,4,0,1,1,2,-1
LW,N.Ritchie,ANA,4,1,0,1,0,1
D,C.Parayko,STL,4,0,1,1,0,4
D,C.Gunnarsson,STL,4,0,1,1,0,1
RW,P.Berglund,STL,4,0,1,1,0,0
RW,V.Tarasenko,STL,4,6,3,9,0,1
C,P.Stastny,STL,4,0,5,5,0,1
RW,C.Perry,ANA,4,2,2,4,2,-1
LW,J.Schwartz,STL,4,3,0,3,0,-1
LW,A.Cogliano,ANA,4,0,3,3,0,-2
RW,N.Yakupov,STL,4,1,2,3,0,3
LW,A.Steen,STL,4,0,3,3,2,0
D,S.Vatanen,ANA,4,2,1,3,0,-3
LW,V.Sobotka,STL,4,2,1,3,0,0
LW,D.Perron,STL,4,1,1,2,0,1
C,K.Brodziak,STL,4,1,1,2,0,2
C,R.Getzlaf,ANA,4,1,1,2,2,0
C,J.Lehtera,STL,4,1,1,2,0,1
