POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
RW,N.Kucherov,TBL,2,2,0,2,2,0
LW,A.Killorn,TBL,2,2,0,2,1,0
D,D.Orlov,WSH,2,2,0,2,1,2
C,N.Backstrom,WSH,2,0,2,2,-1,0
LW,Y.Gourde,TBL,2,0,2,2,1,4
C,C.Paquette,TBL,2,1,0,1,1,0
C,B.Point,TBL,2,1,0,1,0,0
RW,A.Chiasson,WSH,2,1,0,1,1,0
C,T.Johnson,TBL,2,1,0,1,0,0
D,M.Kempny,WSH,2,1,0,1,-1,0
RW,R.Callahan,TBL,2,0,1,1,0,0
D,D.Girardi,TBL,2,0,1,1,3,2
D,M.Niskanen,WSH,2,0,1,1,1,0

C,E.Kuznetsov,WSH,2,0,1,1,-3,0
D,V.Hedman,TBL,2,0,1,1,0,2
C,S.Stamkos,TBL,2,0,1,1,3,0
LW,O.Palat,TBL,2,0,1,1,2,0
D,R.McDonagh,TBL,2,0,1,1,2,2
LW,J.Miller,TBL,2,0,1,1,0,2
RW,A.Burakovsky,WSH,2,0,1,1,V1,0
LW,A.Ovechkin,WSH,2,0,1,1,-3,2
LW,C.Kunitz,TBL,2,0,0,0,0,0
D,A.Stralman,TBL,2,0,0,0,-1,0
C,J.Beagle,WSH,2,0,0,0,1,0
RW,T.Oshie,WSH,2,0,0,0,-2,0

C,L.Eller,WSH,2,0,0,0,0,0
D,J.Carlson,WSH,2,0,0,0,-3,4
RW,B.Connolly,WSH,2,0,0,0,1,0
RW,D.Smith-Pelly,WSH,2,0,0,0,0,0
RW,T.Wilson,WSH,2,0,0,0,-3,2
D,M.Sergachev,TBL,2,0,0,0,0,0
C,A.Cirelli,TBL,2,0,0,0,-1,0
D,A.Sustr,TBL,2,0,0,0,1,0
D,C.Djoos,WSH,2,0,0,0,-4,0
RW,J.Vrana,WSH,2,0,0,0,-1,2
D,B.Orpik,WSH,2,0,0,0,0,0
