POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
LW,T.Tatar,VGK,3,1,4,5,6,2
LW,D.Perron,VGK,3,2,1,3,-1,4
D,C.Fowler,ANA,3,2,1,3,1,0
RW,J.Marchessault,VGK,3,2,1,3,1,0
D,D.Engelland,VGK,3,1,2,3,3,0
LW,N.Ritchie,ANA,3,1,2,3,3,0
D,N.Schmidt,VGK,3,1,2,3,0,0
D,B.Montour,ANA,3,0,3,3,0,0
RW,C.Perry,ANA,3,1,1,2,-1,0
RW,J.Brown,ANA,3,0,2,2,3,0
RW,J.Neal,VGK,3,0,2,2,1,0
C,R.Kesler,ANA,3,0,2,2,0,0
D,S.Theodore,VGK,3,0,2,2,3,0

C,W.Karlsson,VGK,3,1,0,1,1,0
RW,A.Tuch,VGK,3,1,0,1,3,0
C,A.Vermette,ANA,3,1,0,1,2,2
C,R.Getzlaf,ANA,3,1,0,1,-1,2
RW,P.Eaves,ANA,3,1,0,1,-3,0
LW,A.Cogliano,ANA,3,1,0,1,-3,0
C,C.Eakin,VGK,3,0,1,1,3,0
C,A.Henrique,ANA,3,0,1,1,-4,0
RW,O.Kase,ANA,3,0,1,1,-3,0
RW,R.Carpenter,VGK,1,0,0,0,-1,0
C,T.Nosek,VGK,1,0,0,0,0,0
RW,R.Smith,VGK,2,0,0,0,-3,2
C,M.Grabovski,VGK,2,0,0,0,0,0

RW,R.Reaves,VGK,3,0,0,0,0,2
C,R.Bellemare,VGK,3,0,0,0,0,0
D,B.McNabb,VGK,3,0,0,0,0,0
D,C.Miller,VGK,3,0,0,0,0,0
C,E.Haula,VGK,3,0,0,0,-1,0
D,F.Beauchemin,ANA,3,0,0,0,-1,0
D,K.Bieksa,ANA,3,0,0,0,-2,0
RW,J.Silfverberg,ANA,3,0,0,0,-2,2
D,J.Merrill,VGK,3,0,0,0,0,2
C,R.Rakell,ANA,3,0,0,0,0,2
D,H.Lindholm,ANA,3,0,0,0,-3,2
D,J.Manson,ANA,3,0,0,0,-1,0
