POS,PLAYER,TEAM,GP,G,A,P,PIM,+/-
LW,M.Salomaki,NAS,2,0,1,1,2,1
D,M.Irwin,NAS,4,0,1,1,0,-1
C,A.Desjardins,CHI,4,0,0,0,0,0
RW,R.Panik,CHI,4,0,0,0,4,-1
LW,M.Latta,CHI,4,0,0,0,0,0
RW,R.Hartman,CHI,4,0,0,0,2,-1
RW,V.Fiddler,NAS,4,0,0,0,0,0
D,Y.Weber,NAS,4,0,0,0,0,0
C,M.Fisher,NAS,4,0,0,0,0,-1
D,T.Van Riemsdyk,CHI,4,0,0,0,4,3
RW,A.Watson,NAS,4,0,0,0,2,0
D,M.Ekholm,NAS,4,0,0,0,2,0
LW,C.McLeod,NAS,2,0,0,0,2,0
RW,P.Parenteau,NAS,4,0,0,0,0,-1
RW,J.Neal,NAS,4,2,0,2,6,-3
C,M.Kruger,CHI,4,0,2,2,0,2
D,P.Subban,NAS,4,0,2,2,2,0
RW,C.Smith,NAS,4,1,1,2,0,1
D,J.Oduya,CHI,4,0,1,1,4,0
D,B.Seabrook,CHI,4,0,1,1,2,2
LW,A.Panarin,CHI,4,0,1,1,2,1
LW,C.Wilson,NAS,4,1,0,1,0,-1
D,R.Ellis,NAS,4,0,1,1,0,-2
RW,C.Jarnkrok,NAS,4,1,0,1,0,-1
RW,M.Hossa,CHI,4,2,2,4,2,4
C,J.Toews,CHI,4,3,1,4,0,-1
RW,P.Kane,CHI,4,2,1,3,0,-1
C,A.Anisimov,CHI,4,2,1,3,0,3
C,R.Johansen,NAS,4,1,2,3,0,-3
RW,T.Jurco,CHI,4,2,1,3,0,2
D,R.Josi,NAS,4,0,3,3,2,-3
D,B.Campbell,CHI,4,0,2,2,0,1
RW,V.Arvidsson,NAS,4,1,1,2,0,-4
C,N.Schmaltz,CHI,4,1,1,2,4,2
D,D.Keith,CHI,4,0,2,2,0,-1
LW,F.Forsberg,NAS,4,2,0,2,0,-2
D,N.Hjalmarsson,CHI,4,0,2,2,0,4
