POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
C,N.Kadri,TOR,2,2,2,4,3,0
C,T.Bozak,TOR,2,1,1,2,1,0
RW,C.Brown,TOR,2,1,1,2,3,0
C,D.Heinen,BOS,2,1,0,1,0,0
LW,B.Marchand,BOS,2,1,0,1,0,2
LW,P.Marleau,TOR,2,1,0,1,1,0
D,B.Carlo,BOS,2,0,1,1,0,0
D,Z.Chara,BOS,2,0,1,1,1,0
RW,T.Wingels,BOS,2,0,1,1,0,0
RW,D.Pastrnak,BOS,2,0,1,1,1,0
D,M.Rielly,TOR,2,0,1,1,2,0
D,C.Carrick,TOR,2,0,1,1,1,2
RW,M.Marner,TOR,2,0,1,1,2,0
RW,Z.Hyman,TOR,2,0,1,1,1,0
D,T.Krug,BOS,2,0,0,0,-1,2
LW,J.Debrusk,BOS,2,0,0,0,-2,0
C,T.Schaller,BOS,2,0,0,0,-1,0
D,C.McAvoy,BOS,2,0,0,0,0,4
C,R.Donato,BOS,2,0,0,0,-1,0
D,R.Polak,TOR,2,0,0,0,0,0
D,R.Hainsey,TOR,2,0,0,0,-2,0
C,D.Backes,BOS,2,0,0,0,-1,0
C,T.Plekanec,TOR,2,0,0,0,-2,0
RW,L.Komarov,TOR,2,0,0,0,-2,0
LW,J.Van Riemsdyk,TOR,2,0,0,0,1,2
C,D.Krejci,BOS,2,0,0,0,-2,0

C,P.Bergeron,BOS,2,0,0,0,1,0
LW,Rick Nash,BOS,2,0,0,0,-1,0
D,J.Gardiner,TOR,2,0,0,0,2,0
D,A.McQuaid,BOS,2,0,0,0,-2,4
RW,K.Kapanen,TOR,2,0,0,0,-2,0
RW,W.Nylander,TOR,2,0,0,0,1,0
D,N.Holden,BOS,2,0,0,0,-2,4
C,A.Matthews,TOR,2,0,0,0,1,0
C,Riley Nash,BOS,2,0,0,0,0,2
D,N.Zaitsev,TOR,2,0,0,0,-1,0
