POS,PLAYER,GP,G,A,P,+/-,PIM
C,S.Couturier,2,0,1,1,-1,0
D,S.Gostisbehere,2,0,1,1,-2,0
C,D.Brassard,2,0,0,0,3,0
D,J.Oleksiak,2,0,0,0,0,0
D,A.MacDonald,2,0,0,0,-2,0
C,V.Filppula,2,0,0,0,-1,0
RW,Z.Ashton-Reese,2,0,0,0,0,0
C,B.Rust,2,0,0,0,1,2
C,J.Lehtera,2,0,0,0,-2,0
D,B.Manning,2,0,0,0,0,0
LW,M.Raffl,2,0,0,0,-3,0
C,N.Patrick,2,0,0,0,-1,0
D,J.Oduya,2,0,0,0,-3,0

RW,T.Kuhnhackl,2,1,0,1,1,0
LW,C.Hagelin,2,1,0,1,1,2
LW,S.Laughton,2,1,0,1,0,0
LW,M.Read,2,1,0,1,-3,2
C,T.Konecny,2,1,0,1,-1,2
RW,P.Kessel,2,0,1,1,0,0
D,M.Hunwick,2,0,1,1,1,2
RW,D.Weise,2,0,1,1,1,2
C,R.Sheahan,2,0,0,0,-1,0

D,K.Letang,2,1,2,3,3,0
D,J.Schultz,2,0,3,3,1,0
RW,W.Simmonds,2,2,0,2,-3,0
LW,C.Sheary,2,2,0,2,2,2
C,J.Guentzel,2,2,0,2,3,0
C,C.Giroux,2,1,1,2,-1,0
D,B.Dumoulin,2,1,1,2,5,2
RW,J.Voracek,2,0,2,2,-1,0
D,R.Gudas,2,0,2,2,-2,0
D,I.Provorov,2,0,2,2,-1,0
D,O.Maatta,2,0,2,2,1,0
RW,P.Hornqvist,2,0,2,2,2,0
C,E.Malkin,2,1,0,1,0,0
