POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
C,N.Kadri,TOR,5,2,2,4,1,2
C,T.Bozak,TOR,5,1,1,2,1,0
RW,C.Brown,TOR,5,1,1,2,4,2
C,D.Heinen,BOS,2,1,0,1,0,0
LW,B.Marchand,BOS,2,1,0,1,0,2
LW,P.Marleau,TOR,5,2,0,2,-1,0
D,B.Carlo,BOS,2,0,1,1,0,0
D,Z.Chara,BOS,2,0,1,1,1,0
RW,T.Wingels,BOS,2,0,1,1,0,0
RW,D.Pastrnak,BOS,2,0,1,1,1,0
D,M.Rielly,TOR,5,0,2,2,3,0
D,C.Carrick,TOR,5,0,2,2,1,2
RW,M.Marner,TOR,5,0,1,1,2,2
RW,Z.Hyman,TOR,5,0,1,1,1,0
D,T.Krug,BOS,2,0,0,0,-1,2
LW,J.Debrusk,BOS,2,0,0,0,-2,0
C,T.Schaller,BOS,2,0,0,0,-1,0
D,C.McAvoy,BOS,2,0,0,0,0,4
C,R.Donato,BOS,2,0,0,0,-1,0
D,R.Polak,TOR,5,0,0,0,0,0
D,R.Hainsey,TOR,5,0,1,1,-1,0
C,D.Backes,BOS,2,0,0,0,-1,0
C,T.Plekanec,TOR,5,1,0,1,-1,0
RW,L.Komarov,TOR,5,0,0,0,-2,0
LW,J.Van Riemsdyk,TOR,5,1,2,3,3,4
C,D.Krejci,BOS,2,0,0,0,-2,0

C,P.Bergeron,BOS,2,0,0,0,1,0
LW,Rick Nash,BOS,2,0,0,0,-1,0
D,J.Gardiner,TOR,5,0,0,0,1,0
D,A.McQuaid,BOS,2,0,0,0,-2,4
RW,K.Kapanen,TOR,5,0,0,0,-2,0
RW,W.Nylander,TOR,5,2,0,2,2,0
D,N.Holden,BOS,2,0,0,0,-2,4
C,A.Matthews,TOR,5,1,1,2,2,4
C,Riley Nash,BOS,2,0,0,0,0,2
D,N.Zaitsev,TOR,5,0,1,1,0,0
C,C.Sissons,NAS,3,4,0,4,1,0
C,N.MacKinnon,COL,5,3,2,5,5,2
LW,G.Landeskog,COL,5,2,2,4,5,6
RW,B.Comeau,COL,5,1,2,3,1,0
LW,S.Hartnell,NAS,3,1,1,2,-1,0
C,A.Kerfoot,COL,5,1,3,4,6,0
D,V.Weber,NAS,3,0,2,2,1,0
D,T.Barrie,COL,5,0,2,2,3,0
LW,M.Rantanen,COL,5,2,2,4,4,2
RW,C.Smith,NAS,3,1,0,1,-1,0
RW,V.Arvidsson,NAS,3,1,0,1,-3,4
LW,C.Wilson,COL,5,3,1,4,4,2
RW,N.Yakupov,COL,5,1,1,2,1,2

LW,M.Nieto,COL,5,1,0,1,-2,0
C,K.Turris,NAS,3,0,1,1,-1,6
D,A.Emelin,NAS,3,0,1,1,0,2
C,R.Johansen,NAS,3,0,1,1,-2,2
C,N.Bonino,NAS,3,0,1,1,-1,0
C,C.Soderberg,COL,5,0,2,2,-2,4
D,E.Johnson,COL,5,1,1,2,4,0
LW,K.Fiala,NAS,3,0,1,1,-1,2
D,M.Barberio,COL,5,0,1,1,0,0

D,N.Zadorov,COL,5,1,2,3,4,0
C,J.Compher,COL,5,0,1,1,-1,0
C,T.Jost,COL,5,0,1,1,1,2

LW,F.Forsberg,NAS,3,0,1,1,0,2
D,R.Josi,NAS,3,0,0,0,-2,0
D,P.Subban,NAS,3,0,0,0,0,2
RW,A.Watson,NAS,3,0,0,0,0,0
D,R.Ellis,NAS,3,0,0,0,-4,0
D,M.Ekholm,NAS,3,0,0,0,0,0
RW,C.Jarnkrok,NAS,3,0,0,0,0,0
D,P.Nemeth,COL,5,0,1,1,4,4
RW,S.Andrighetto,COL,5,0,0,0,2,0
D,S.Girard,COL,5,0,0,0,3,0
C,M.Fisher,NAS,3,0,0,0,0,0
C,S.Couturier,PHI,2,0,1,1,-1,0
D,S.Gostisbehere,PHI,2,0,1,1,-2,0
C,D.Brassard,PIT,5,0,1,1,4,0
D,J.Oleksiak,PIT,5,0,2,2,2,2
D,A.MacDonald,PHI,2,0,0,0,-2,0
C,V.Filppula,PHI,2,0,0,0,-1,0
RW,Z.Aston-Reese,PIT,5,0,0,0,-1,0
C,B.Rust,PIT,5,3,0,3,2,2
C,J.Lehtera,PHI,2,0,0,0,-2,0
D,B.Manning,PHI,2,0,0,0,0,0
LW,M.Raffl,PHI,2,0,0,0,-3,0
C,N.Patrick,PHI,2,0,0,0,-1,0
D,J.Oduya,PHI,2,0,0,0,-3,0
C,S.Crosby,PIT,5,2,3,5,3,0
RW,T.Kuhnhackl,PIT,5,1,0,1,0,0
LW,C.Hagelin,PIT,5,1,1,2,1,4
LW,S.Laughton,PHI,2,1,0,1,0,0
LW,M.Read,PHI,2,1,0,1,-3,2
C,T.Konecny,PHI,2,1,0,1,-1,2
RW,P.Kessel,PIT,5,2,2,4,1,0
D,M.Hunwick,PIT,5,1,3,4,3,2
RW,D.Weise,PHI,2,0,1,1,1,2
C,R.Sheahan,PIT,5,0,0,0,-2,0

D,K.Letang,PIT,5,1,4,5,3,0
D,J.Schultz,PIT,5,0,3,3,0,2
RW,W.Simmonds,PHI,2,2,0,2,-3,0
LW,C.Sheary,PIT,5,2,0,2,3,2
C,J.Guentzel,PIT,5,2,2,4,4,0
C,C.Giroux,PHI,2,1,1,2,-1,0
D,B.Dumoulin,PIT,5,1,1,2,4,2
RW,J.Voracek,PHI,2,0,2,2,-1,0
D,R.Gudas,PHI,2,0,2,2,-2,0
D,I.Provorov,PHI,2,0,2,2,-1,0
D,O.Maatta,PIT,5,0,2,2,1,0
RW,P.Hornqvist,PIT,5,1,2,3,2,0
C,E.Malkin,PIT,5,1,1,2,0,0
LW,A.Ovechkin,WSH,7,5,1,6,-1,2
C,E.Kuznetsov,WSH,7,2,3,5,1,0
LW,B.Jenner,CBJ,2,1,1,2,1,0
RW,T.Oshie,WSH,7,1,3,4,-1,0
RW,B.Connolly,WSH,7,0,2,2,2,0
D,I.Cole,CBJ,2,0,2,2,1,0
C,J.Beagle,WSH,7,1,1,2,0,0
C,L.Eller,WSH,7,1,0,1,-2,0
RW,J.Vrana,WSH,7,1,0,1,-1,2
D,R.Murray,CBJ,2,1,0,1,1,2
RW,O.Bjorkstrand,CBJ,2,1,0,1,-1,0
D,S.Jones,CBJ,2,1,0,1,-1,0
C,A.Wennberg,CBJ,2,1,0,1,-1,0
RW,T.Wilson,WSH,7,0,3,3,-1,4

C,N.Backstrom,WSH,7,0,4,4,-1,0
D,D.Orlov,WSH,7,2,1,3,5,2
D,C.Djoos,WSH,7,0,1,1,-2,0
RW,A.Burakovsky,WSH,7,1,3,4,1,2
C,C.Stephenson,WSH,2,0,1,1,-2,0
C,B.Dubinsky,CBJ,2,0,1,1,-1,0
C,M.Letestu,CBJ,2,0,1,1,1,2
RW,J.Anderson,CBJ,2,0,1,1,-1,0
RW,M.Calvert,CBJ,2,0,0,0,3,0
D,J.Carlson,WSH,7,0,0,0,-2,6
LW,A.Panarin,CBJ,2,0,1,1,-3,0
D,M.Niskanen,WSH,7,0,1,1,3,0

D,D.Savard,CBJ,2,0,0,0,0,0
RW,D.Smith-Pelly,WSH,7,0,0,0,-3,0
RW,C.Atkinson,CBJ,2,0,0,0,-2,0
D,M.Kempny,WSH,7,1,0,1,-3,0
D,J.Johnson,CBJ,2,0,0,0,0,2
LW,T.Vanek,CBJ,2,0,0,0,-2,0
D,B.Orpik,WSH,7,0,1,1,-4,0
C,P.Dubois,CBJ,2,0,0,0,-1,0
RW,N.Foligno,CBJ,2,0,0,0,0,0
D,Z.Werenski,CBJ,2,0,0,0,-4,0

RW,A.Chiasson,WSH,5,1,0,1,-2,2

D,M.Dumba,MIN,4,1,2,3,-1,0
C,M.Granlund,MIN,4,1,1,2,0,2
LW,Z.Parise,MIN,4,1,1,2,2,0
RW,P.Laine,WPG,2,0,2,2,1,0
C,P.Stastny,WPG,2,1,0,1,2,0
D,J.Spurgeon,MIN,4,1,0,1,-1,0
D,J.Morissey,WPG,2,1,0,1,-2,0
LW,M.Perreault,WPG,2,1,0,1,-1,0
C,C.Coyle,MIN,4,1,0,1,1,0
RW,N.Ehlers,WPG,2,0,1,1,2,0
C,M.Cullen,MIN,4,0,1,1,0,0
C,B.Little,WPG,2,0,1,1,-2,0
LW,D.Winnik,MIN,4,0,1,1,0,0
D,N.Prosser,MIN,4,0,1,1,-1,0
RW,T.Ennis,MIN,4,0,0,0,2,0
D,T.Enstrom,WPG,2,0,0,0,1,0
D,D.Byfuglien,WPG,2,0,0,0,0,0
RW,B.Wheeler,WPG,2,0,0,0,-2,0
D,T.Myers,WPG,2,0,0,0,0,0
